GeneID	Annotation	wt	mutant#1	mutant#2	mutant#3
Zt107360	spermidine synthase | Zt107360	338.04	288.11	335.14	276.47
Zt107363	acid protease | Zt107363	70.38	65.67	61.72	72.15
Zt107371	alpha beta-hydrolase | Zt107371	32.7	39.47	31.51	38.04
Zt10738	regulatory ral2 | Zt10738	320.16	788.13	163.56	119.31
Zt107384	GLE1 -domain-containing | Zt107384	28.83	28.56	30.8	27.1
Zt107385	cell wall biogenesis phosphatase Ssd1 | Zt107385	146.91	101.02	202	146.96
Zt107386	hypothetical protein MYCGRDRAFT_107386 | Zt107386	78.1	136.94	59.27	104.21
Zt107387	nadh:ubiquinone oxidoreductase subunit | Zt107387	275.96	325.06	244.13	223.56
Zt107389	COX15- -domain-containing | Zt107389	43.46	38.75	39.05	42.02
Zt107390	BTB POZ domain-containing | Zt107390	44.46	41.49	46.84	50.98
Zt107391	lysophospholipase Plb2 | Zt107391	45.64	11.25	59.99	67.45
Zt107396	1,3-beta-glucanosyltransferase gel1 | Zt107396	120.72	225.91	130.8	147.34
Zt107400	AP-1 complex subunit gamma-1 | Zt107400	67.43	55.36	66.37	56.92
Zt107401	hlh transcription factor | Zt107401	113.47	126.62	101.27	72.98
Zt107402	eukaryotic translation initiation factor 3 subunit a | Zt107402	88.6	69.32	98.4	85.03
Zt107403	hypothetical protein MYCGRDRAFT_107403 | Zt107403	47.83	64.82	76.13	64.75
Zt107406	GNAT family acetyltransferase like | Zt107406	13.34	12.72	17.57	10.92
Zt107411	mitogen-activated kinase maf1 | Zt107411	171.19	233.9	184.25	214.09
Zt107412	AP-2 complex subunit sigma | Zt107412	100.13	128.07	102.21	119.5
Zt107417	hypothetical protein MYCGRDRAFT_107417 | Zt107417	257.7	196.91	212.63	239.48
Zt107419	regulator-nonsense transcripts 1 | Zt107419	60.33	47.28	59.79	58.94
Zt10742	MFS general substrate transporter | Zt10742	41.35	54.38	30.61	50.33
Zt107425	cue domain-containing | Zt107425	75.05	58.62	290.41	54.18
Zt107427	myo-inositol-1-phosphate synthase | Zt107427	260.98	216.1	349.03	186.38
Zt107437	hypothetical protein MYCGRDRAFT_107437 | Zt107437	48.44	100.79	63.48	63.61
Zt107442	hypothetical protein MYCGRDRAFT_107442 | Zt107442	19.26	24.26	25.79	419.76
Zt107443	hypothetical protein MYCGRDRAFT_107443 | Zt107443	13.68	15.73	13.43	14.15
Zt107448	hypothetical protein MYCGRDRAFT_107448 | Zt107448	4.79	20	71.55	56.17
Zt10745	ARM repeat-containing | Zt10745	84.62	71.46	71.68	51.82
Zt107454	aspartyl protease | Zt107454	11.04	25.1	10.29	20.2
Zt107460	hypothetical protein MYCGRDRAFT_107460 | Zt107460	32.09	31.95	23.13	33.03
Zt107461	ribosomal S5 domain 2 | Zt107461	106.94	102.76	96.25	95.89
Zt107462	acetolactate catabolic | Zt107462	64.65	36.72	46.29	54.84
Zt107473	Short-chain dehydrogenase reductase SDR | Zt107473	108.12	48.55	56.24	96.58
Zt107474	transcription factor cys6 | Zt107474	66.33	67.2	61.15	55.5
Zt107483	fe-s assembly co-chaperone | Zt107483	20.37	25.84	24.26	19.78
Zt107488	hypothetical protein MYCGRDRAFT_107488 | Zt107488	95.23	96.72	87.87	82.82
Zt10749	Glycoside hydrolase family 43 | Zt10749	7.12	9.69	7.29	9.32
Zt107492	Amino acid transporter arg-13 | Zt107492	60.49	41.62	37.18	56.65
Zt107493	rRNA-processing cgrA | Zt107493	83.38	108.73	72.46	84.1
Zt107494	hypothetical protein MYCGRDRAFT_107494 | Zt107494	71.7	102.81	54.54	44.65
Zt107497	basic-leucine zipper transcription factor | Zt107497	36.57	43.04	46.4	39.27
Zt107498	Fructose-BISphosphate class II | Zt107498	14.11	33.94	42.82	26.47
Zt107505	Borealin- N-terminal | Zt107505	15.76	18.41	12.51	19.27
Zt107517	chromatin modification-related eaf7 | Zt107517	40.32	53.73	28.5	34.46
Zt107522	hypothetical protein MYCGRDRAFT_107522 | Zt107522	5.85	10.71	7.38	7.6
Zt107524	hypothetical protein MYCGRDRAFT_107524 | Zt107524	26.36	85.74	28.4	98.98
Zt107535	hypothetical protein MYCGRDRAFT_107535 | Zt107535	53.49	69.09	52.34	63.77
Zt107536	hypothetical protein MYCGRDRAFT_107536 | Zt107536	88.19	96.9	114.69	84.25
Zt107544	hypothetical protein MYCGRDRAFT_107544 | Zt107544	59.01	59	62.84	51.93
Zt107550	hypothetical protein MYCGRDRAFT_107550 | Zt107550	19.46	22.07	24.11	23.36
Zt107551	adenosylhomocysteinase | Zt107551	367.94	291.68	331.38	322.96
Zt107553	hypothetical protein MYCGRDRAFT_107553 | Zt107553	5.4	5.05	11.26	3.99
Zt107565	glycoside hydrolase family 2 | Zt107565	15.04	17.02	3.02	16.12
Zt107566	exostoses (multiple)-like 3 | Zt107566	30.04	35.25	34.46	38.97
Zt107571	la domain-containing | Zt107571	36.87	29.82	35.25	36.33
Zt107574	DNA polymerase | Zt107574	43.84	36.86	41.66	35.64
Zt107589	metal ion binding | Zt107589	10.07	11.64	9.26	8.87
Zt107593	Mago nashi | Zt107593	19.34	25.03	20.26	19.49
Zt107596	akap7 2 5 rna ligase-like domain | Zt107596	31.47	34.15	29.72	26.06
Zt107598	zinc finger transcription factor ace1 | Zt107598	31	50.98	116.13	42.21
Zt107599	hypothetical protein MYCGRDRAFT_107599 | Zt107599	22.22	20.41	27.07	13.49
Zt107601	sulphydryl oxidase | Zt107601	19.67	12.28	6.88	6.77
Zt107603	MFS transporter | Zt107603	71.15	52.61	55.45	62.95
Zt107606	hypothetical protein MYCGRDRAFT_107606 | Zt107606	16.44	28.88	92.64	26.19
Zt107614	[Histoplasma capsulatum NAm1] | Zt107614	55.94	54.43	69.69	52.4
Zt107615	Asp Glu hydantoin racemase | Zt107615	22.14	27.83	21.44	31.48
Zt107616	hypothetical protein MYCGRDRAFT_107616 | Zt107616	51.26	36.83	52.38	37.54
Zt107618	acetyl-coenzyme A synthetase | Zt107618	399.84	375.38	149.25	478.34
Zt107627	PTH2-domain-containing | Zt107627	54.64	47.11	31.87	41.31
Zt107629	hypothetical protein MYCGRDRAFT_107629, partial | Zt107629	17.24	19.1	23.29	19.66
Zt107637	beta-lactamase transpeptidase | Zt107637	20.56	10.65	14.36	20.5
Zt107640	CMGC SRPK kinase | Zt107640	12.68	14.88	14.5	17.17
Zt107643	GATA-domain-containing partial | Zt107643	23.13	25.17	23.12	26.29
Zt107644	glutamate-cysteine ligase Gcs1 | Zt107644	38.85	42.42	42.46	49.33
Zt107646	SAGA complex component Sgf29 like | Zt107646	12.17	10.2	11.41	8.63
Zt107656	Zn2 Cys6 DNA-binding | Zt107656	80.21	112.9	28.55	88.64
Zt10766	cell division protease ftsH | Zt10766	75.47	45.85	82.74	54.11
Zt107660	basic proline-rich | Zt107660	26.95	26.07	63.62	25.63
Zt107669	O-acetylhomoserine O-acetylserine sulfhydrylase | Zt107669	40.85	29.68	47.97	34.36
Zt107673	2 ,3 -cyclic-nucleotide 3 -phosphodiesterase | Zt107673	223.31	246.29	101.3	146.31
Zt107675	homocysteine S-methyltransferase [[Enterobacter] aerogenes] | Zt107675	18.58	38.14	12.76	23.76
Zt107684	alpha beta-hydrolase | Zt107684	3.45	5.08	4.36	3.67
Zt107688	WD40 repeat | Zt107688	56.79	60.6	65.59	49.67
Zt107697	hypothetical protein MYCGRDRAFT_107697 | Zt107697	55.95	59.23	49.43	55.03
Zt107703	hypothetical protein MYCGRDRAFT_107703 | Zt107703	1.14	1.34	1.35	1.23
Zt107708	6-aminohexanoate-dimer hydrolase | Zt107708	34.32	48.29	27.79	45.01
Zt107709	SET domain-containing | Zt107709	28.23	27.1	21.5	20.39
Zt107711	glycoside hydrolase family 17 | Zt107711	122.07	186.54	81.83	165.4
Zt107713	hypothetical protein MYCGRDRAFT_107713 | Zt107713	12.36	19.48	11.62	10.02
Zt107715	DNA replication complex GINS psf1 | Zt107715	32.37	34.37	31.31	23.85
Zt107719	hypothetical protein MYCGRDRAFT_107719 | Zt107719	2.36	7.37	0.81	4.03
Zt107722	mitochondrial ATPase complex subunit ATP10 | Zt107722	31.82	34.78	26.9	24.17
Zt107726	ccch zinc finger | Zt107726	35.28	30.35	31.75	29.63
Zt107729	hypothetical protein MYCGRDRAFT_107729 | Zt107729	53.03	49.19	71.26	50.72
Zt107730	dynamin GTPase | Zt107730	74.91	67.84	73.92	72.55
Zt107731	hypothetical protein MYCGRDRAFT_107731 | Zt107731	13.95	24.31	18.59	40.39
Zt107737	hypothetical protein MYCGRDRAFT_107737 | Zt107737	67.63	63.07	70.82	85.71
Zt107738	related to aspartic ase OPSB | Zt107738	34.27	36.3	38.42	37.03
Zt107743	ricin b lectin | Zt107743	11.7	16.02	11.35	11.38
Zt107758	A-kinase anchor 5 | Zt107758	12.63	16.61	36.2	15.44
Zt107760	gamma tubulin | Zt107760	41.36	40.96	37.86	35.16
Zt107761	phosphatidylinositol diacylglycerol-lyase | Zt107761	51.71	38.4	42.63	39.7
Zt107763	zinc transporter YKE4 | Zt107763	79.12	75.3	56.35	74.67
Zt107781	hypothetical protein MYCGRDRAFT_107781 | Zt107781	19.78	64.66	51.64	123.01
Zt107782	DNA repair (Rad1) | Zt107782	27.33	28.65	16.08	21.57
Zt107785	patatin-domain-containing [Aureobasidium namibiae CBS ] | Zt107785	75	37.82	55.14	40.72
Zt107787	RNA polymerase II Mediator complex subunit Sin4 like | Zt107787	12.32	14.57	11.34	14.04
Zt107789	nucleoporin nup120 160 | Zt107789	22.72	23.16	23.37	24.55
Zt107790	signal sequence receptor alpha subunit | Zt107790	28.16	27.63	37.91	21.65
Zt107794	tubulin-specific chaperone e | Zt107794	21.72	22.25	26.29	25.29
Zt107795	hypothetical protein MYCGRDRAFT_107795 | Zt107795	4.76	6.64	10.19	8.19
Zt107800	glycosyltransferase family 34 | Zt107800	44.57	42.59	53.74	47.95
Zt107801	DUF590-domain-containing | Zt107801	21.79	11.21	27.84	34.37
Zt107808	Ribosomal L9 RNase H1 | Zt107808	54.17	49.24	45.13	46.17
Zt107811	hypothetical protein MYCGRDRAFT_107811 | Zt107811	6.68	10.86	6.8	11.2
Zt107812	ctr copper transporter | Zt107812	8.6	16.68	2	9.75
Zt107817	outer membrane | Zt107817	79.93	78.38	78.9	70.55
Zt107818	Peptidyl-prolyl cis-trans isomerase | Zt107818	82.34	41.65	87.9	117.94
Zt107824	hypothetical protein MYCGRDRAFT_107824 | Zt107824	1.78	3.01	5.08	4.14
Zt107825	kynureninase | Zt107825	18.68	17.98	18.9	23.26
Zt107828	hypothetical protein MYCGRDRAFT_107828 | Zt107828	124.13	159.66	139.7	120.74
Zt107830	hypothetical protein MYCGRDRAFT_107830 | Zt107830	43.31	81.06	34.51	45.07
Zt107834	FAD dependent oxidoreductase | Zt107834	31.43	34.04	23.72	30.53
Zt107837	hypothetical protein MYCGRDRAFT_107837 | Zt107837	130.01	94.77	51.7	56.53
Zt107840	P-loop containing nucleoside triphosphate hydrolase | Zt107840	24.86	15.14	26.35	20.96
Zt107841	DNA-directed RNA polymerase III subunit RPC7 | Zt107841	18.99	20.94	14.89	18.62
Zt107850	3-oxoacid -transferase | Zt107850	13.78	8.52	14.39	11.93
Zt107851	hypothetical protein MYCGRDRAFT_107851 | Zt107851	9.1	4.62	9.06	11.71
Zt107852	hypothetical protein MYCGRDRAFT_107852, partial | Zt107852	14.79	8.41	14.05	13.81
Zt107854	adenylate isopentenyltransferase 4 | Zt107854	17.42	17.7	29.18	23.51
Zt107859	Polyadenylate-binding Hyperplastic disc | Zt107859	53	54.33	51.2	50.32
Zt107867	hypothetical protein MYCGRDRAFT_107867 | Zt107867	51.71	40.64	64.66	36.44
Zt107882	WD40 repeat | Zt107882	20.48	20.23	21.79	20.56
Zt107883	pre-rrna-processing tsr2 | Zt107883	59.12	78.12	51.83	68.99
Zt107889	hypothetical protein MYCGRDRAFT_107889 | Zt107889	65.42	114.6	1143.2	52.55
Zt107903	ubiquitin-conjugating enzyme E2-16 kDa | Zt107903	68.44	47.33	81.49	41.4
Zt107904	hypothetical protein MYCGRDRAFT_107904 | Zt107904	42.64	29.15	80.47	30.57
Zt107905	hypothetical protein MYCGRDRAFT_107905 | Zt107905	19.75	19.61	21.32	19.55
Zt107908	Aldo keto reductase | Zt107908	6.92	10.82	8.98	10.28
Zt107910	rnapii degradation factor def1 like | Zt107910	69.08	58.6	78.82	59.3
Zt107914	MFS general substrate transporter | Zt107914	38.28	40.11	30.49	41.09
Zt107916	hypothetical protein MYCGRDRAFT_107916 | Zt107916	44.62	67.16	40.35	93.02
Zt107918	hypothetical protein MYCGRDRAFT_107918 | Zt107918	79.2	83.6	58.14	88.36
Zt107920	peptidase family m20 m25 m40 | Zt107920	12.89	40.29	12.84	93.67
Zt107921	tyrosine phosphatase 4 | Zt107921	11.97	12.47	13.93	14.51
Zt107923	Pc21g07330 [Penicillium rubens Wisconsin 54-1255] | Zt107923	152.17	140.85	245.89	141.05
Zt107924	glycosyltransferase family 31 | Zt107924	28.92	42.64	34.01	37.06
Zt107929	hypothetical protein MYCGRDRAFT_107929 | Zt107929	37.52	42.87	45.89	40.95
Zt107930	S-adenosyl-L-methionine-dependent methyltransferase | Zt107930	23.74	20.4	20.4	17.47
Zt107945	mRNA splicing factor | Zt107945	70.18	66.97	49.27	54.21
Zt107946	alkaline phosphatase like | Zt107946	36.51	34.6	56.91	48.43
Zt107949	ubiquitin family | Zt107949	41.82	35.3	44	47.24
Zt107953	Trs120-domain-containing [Aureobasidium namibiae CBS ] | Zt107953	35.03	31.72	29.18	25.98
Zt107958	nudix family hydrolase | Zt107958	54.68	69.66	61.18	51.7
Zt107959	SPX domain | Zt107959	101.31	103.74	78.99	90.7
Zt107963	ER to Golgi transport (Sly41) | Zt107963	36.22	36.66	40.78	38.79
Zt107966	cupin domain-containing | Zt107966	23.14	33.27	20.54	29.52
Zt107967	hypothetical protein MYCGRDRAFT_107967 | Zt107967	108.59	125.86	119.51	128.6
Zt107968	hypothetical protein MYCGRDRAFT_107968 | Zt107968	12.25	16.73	21.22	10.11
Zt107972	hypothetical protein MYCGRDRAFT_107972 | Zt107972	91.87	88.47	86.65	88.23
Zt107974	FAD NAD(P)-binding domain-containing | Zt107974	165.72	187.08	155.7	180.83
Zt107981	DRAP deaminase | Zt107981	45.61	44.99	45.2	37.43
Zt107982	hypothetical protein MYCGRDRAFT_107982 | Zt107982	195.58	74.49	250.55	219.27
Zt107996	cell cycle control | Zt107996	65.13	58.23	59.63	51.92
Zt108001	Oxoglutarate iron-dependent oxygenase | Zt108001	21.41	20.75	19.2	17.64
Zt108003	hypothetical protein MYCGRDRAFT_108003 | Zt108003	68.71	65.9	54.68	59.69
Zt108008	hypothetical protein MYCGRDRAFT_108008 | Zt108008	47.01	38.11	47.81	30.68
Zt108013	hypothetical protein MYCGRDRAFT_108013 | Zt108013	11.36	20.62	25.73	42.88
Zt108014	amine oxidase | Zt108014	14.26	18.15	27.95	18.49
Zt108024	conserved glutamic acid-rich | Zt108024	96.11	126.52	191.56	118.07
Zt108025	hypothetical protein MYCGRDRAFT_108025 | Zt108025	5.71	7.64	2.62	10.45
Zt108026	Transcription initiation factor TFIID component TAF4 | Zt108026	60.66	65.97	106.42	58.29
Zt108040	iron transport multicopper oxidase FET3 | Zt108040	40.53	105.29	34.17	25.68
Zt108045	ABC transporter | Zt108045	1.71	2.15	1.49	2.73
Zt108052	hypothetical protein MYCGRDRAFT_108052 | Zt108052	7.12	24.36	6.37	17.24
Zt108055	hypothetical protein MYCGRDRAFT_108055 | Zt108055	54.82	48.74	46.75	41.44
Zt108058	translation initiation factor eIF4e | Zt108058	104.5	143.05	119.26	149.71
Zt108062	hypothetical protein MYCGRDRAFT_108062 | Zt108062	24.26	37.56	24.3	25.99
Zt108064	hypothetical protein MYCGRDRAFT_108064 | Zt108064	51.81	92.72	42.84	60.37
Zt108068	hypothetical protein MYCGRDRAFT_108068 | Zt108068	55.9	62.31	51.24	47.24
Zt108070	RING finger domain-containing | Zt108070	47.92	127.84	47.11	73.09
Zt108073	acid phosphatase | Zt108073	82.91	81.63	106.67	88.65
Zt108075	hypothetical protein MYCGRDRAFT_108075 | Zt108075	87.91	106.42	91.78	89.49
Zt108090	HET domain-containing | Zt108090	15.33	13.87	16.45	18.4
Zt108094	viral a-type inclusion repeat | Zt108094	31.43	27.57	36.71	30.32
Zt108101	MFS general substrate transporter | Zt108101	53.56	69.94	55.54	128.38
Zt108107	Prephenate dehydrogenase | Zt108107	29.66	30.62	24.93	26.23
Zt108110	sensor histidine kinase response regulator | Zt108110	55.62	54.03	53.93	48.64
Zt108112	hypothetical protein MYCGRDRAFT_108112 | Zt108112	24.08	18.81	17.34	20.69
Zt108116	hypothetical protein MYCGRDRAFT_108116 | Zt108116	5.37	9.99	8.45	8.02
Zt108131	hypothetical protein MYCGRDRAFT_108131 | Zt108131	40.84	39.28	31.58	38.82
Zt108135	Cytochrome b-c1 complex subunit 10 | Zt108135	138.82	117.08	130.76	98.91
Zt108146	elongation factor 3 | Zt108146	271.12	166.92	209.57	194.75
Zt108147	hypothetical protein MYCGRDRAFT_108147 | Zt108147	1.85	3.01	11.87	59.08
Zt108148	hypothetical protein MYCGRDRAFT_108148 | Zt108148	16.95	22.38	19.99	29.52
Zt108150	BET1 v-SNARE | Zt108150	85.52	98.26	65.19	68.52
Zt108151	glycosyltransferase family 2 | Zt108151	44.83	44.23	63.89	48.43
Zt108152	glycosyltransferase family 2 | Zt108152	47.66	48.34	68.89	47.85
Zt108162	NAD-P-binding | Zt108162	6.25	8.21	9.22	8.97
Zt108163	Basic-leucine zipper (bZIP) transcription factor | Zt108163	68.33	65.01	158.56	70.75
Zt108169	unknown | Zt108169	55.8	72.02	68.01	61.36
Zt108172	heme oxygenase | Zt108172	77.47	61.97	58.53	73.69
Zt108173	Na(+) H(+) antiporter 2 | Zt108173	61.12	45.21	45.68	67.55
Zt108179	hypothetical protein MYCGRDRAFT_108179 | Zt108179	252.08	170.1	288.43	167.17
Zt108180	translation initiation factor 4b | Zt108180	104.01	105.08	88.4	105.03
Zt108182	hypothetical protein MYCGRDRAFT_108182, partial | Zt108182	30.32	25.59	20.21	25.18
Zt108183	P-loop containing nucleoside triphosphate hydrolase partial | Zt108183	17.83	16.05	49.64	12.3
Zt10819	pheromone processing endoprotease kex2 like | Zt10819	72.24	67.36	68.21	70.66
Zt108192	autophagy Atg27 | Zt108192	46.02	39.68	93.71	49.15
Zt108195	hypothetical protein MYCGRDRAFT_108195 | Zt108195	12.77	11.55	9.37	10.74
Zt108196	replication factor A 3 | Zt108196	48.5	63.06	185.31	44.81
Zt108197	glucosamine 6-phosphate synthetase | Zt108197	47.25	103.2	48.89	77.72
Zt108201	Tip elongation aberrant Tea4 | Zt108201	37.83	39.42	39.51	42.23
Zt108203	calcium channel subunit mid1 | Zt108203	54.34	64.33	57.19	61.15
Zt108215	cleft lip and palate transmembrane 1 | Zt108215	80.38	72.12	62.31	69.21
Zt108217	hypothetical protein MYCGRDRAFT_108217 | Zt108217	13.42	20.66	11.2	16.81
Zt108218	WD40 repeat | Zt108218	20.71	14.43	16.2	14.6
Zt108219	peroxisomal membrane pex16 | Zt108219	262.46	307.52	503.39	255
Zt108223	glycosyltransferase family 39 | Zt108223	253.36	271.26	237.24	140.29
Zt108228	lem3 cdc50 family | Zt108228	189.14	151.74	162.25	140.34
Zt108236	ccch zinc finger and rrm domain-containing | Zt108236	30.55	29.32	29.01	26.8
Zt108244	hypothetical protein MYCGRDRAFT_108244 | Zt108244	23.69	27.94	49.1	28.44
Zt108245	telomere-binding alpha subunit central domain-containing | Zt108245	27.68	28.41	22.94	25.18
Zt108250	thioredoxin | Zt108250	78.96	81.61	60.63	45.41
Zt108252	hypothetical protein MYCGRDRAFT_108252 | Zt108252	64.94	63.08	46.16	52.74
Zt108254	recombination hotspot-binding | Zt108254	32.63	25.39	24.62	24.55
Zt108264	cell morphogenesis las1 | Zt108264	36.91	35.83	38.29	38.07
Zt108265	tigr02452 family | Zt108265	46.15	21.6	19.13	31.29
Zt108267	maltose permease | Zt108267	13.42	23.81	3.75	17.81
Zt108268	hypothetical protein MYCGRDRAFT_108268 | Zt108268	64.46	93.08	88.84	70.62
Zt108272	polysaccharide export | Zt108272	26.59	28.28	106.38	22.05
Zt108274	flagellar motor | Zt108274	8.8	15.52	6.88	10.82
Zt108279	nuclear RNA binding | Zt108279	3.85	7.04	7.39	6.52
Zt108281	integral membrane | Zt108281	42.22	44.16	39.88	47.8
Zt108288	hypothetical protein MYCGRDRAFT_108288 | Zt108288	17.39	15.51	18.24	12.09
Zt108290	FYVE domain | Zt108290	180.71	293.62	127.16	299.73
Zt108294	hypothetical protein MYCGRDRAFT_108294 | Zt108294	26.68	26.51	26.8	29.04
Zt108298	tat pathway signal sequence | Zt108298	22.47	12.69	21.3	20.81
Zt108301	Adenosine kinase | Zt108301	128.41	152.96	146.92	147.79
Zt108309	brefeldin A esterase | Zt108309	3.74	3.9	2.93	4.81
Zt108312	Ca2+-modulated nonselective cation channel polycystin | Zt108312	6.97	10.59	6.4	16.78
Zt108314	Flavin-containing monooxygenase | Zt108314	12.53	14.09	19.25	42.79
Zt108315	hypothetical protein MYCGRDRAFT_108315 | Zt108315	15.51	13.1	36.4	16.21
Zt108321	peptidase s41 family | Zt108321	0.71	1.46	0.38	1.34
Zt108329	hypothetical protein MYCGRDRAFT_108329 | Zt108329	11.99	21.39	10.78	49.59
Zt108330	aristolochene synthase | Zt108330	16.67	14.91	16.5	22.85
Zt108333	citrate synthase | Zt108333	25.03	20.03	29	19.71
Zt108336	nad dependent epimerase dehydratase | Zt108336	2.35	3	3.44	1.64
Zt108339	RNA-binding domain-containing | Zt108339	22.01	24.69	24.4	23.78
Zt108345	hypothetical protein MYCGRDRAFT_108345 | Zt108345	25.49	34.32	25.08	29.3
Zt108349	hydrophobin-like protein | Zt108349	10.44	12.19	16.28	11.16
Zt108350	CRAL TRIO domain-containing | Zt108350	57.6	53.33	54.58	42.02
Zt108353	hypothetical protein MYCGRDRAFT_108353 | Zt108353	52.6	75.76	45.21	49.79
Zt108354	P-loop containing nucleoside triphosphate hydrolase | Zt108354	0.68	0.62	1.53	0.63
Zt108362	hypothetical protein MYCGRDRAFT_108362 | Zt108362	127.08	233.89	58.22	99.63
Zt108367	oxysterol binding | Zt108367	38.91	24.98	47.87	44.43
Zt108377	hypothetical protein MYCGRDRAFT_108377 | Zt108377	5.85	6.33	7.93	15.78
Zt108384	ribonuclease H | Zt108384	187.19	163.29	129.87	137.2
Zt108391	F-box domain | Zt108391	10.69	18.48	9.88	11.89
Zt108392	hypothetical protein MYCGRDRAFT_108392 | Zt108392	11.77	49.42	12.25	18.02
Zt108395	hypothetical protein MYCGRDRAFT_108395 | Zt108395	5.98	12.68	7.2	7.24
Zt108397	N2,N2-dimethylguanosine tRNA methyltransferase | Zt108397	17.56	18.37	15.76	19.46
Zt108398	hypothetical protein MYCGRDRAFT_108398 | Zt108398	31.78	30.49	26.76	28.32
Zt108399	WW Rsp5 WWP | Zt108399	2.97	4.49	22.28	25.47
Zt108402	nuclear envelope Brr6 | Zt108402	46.12	58.07	46.91	59.34
Zt108403	fatty acid synthase subunit alpha | Zt108403	128.84	114.31	235.87	131.69
Zt108406	hypothetical protein MYCGRDRAFT_108406 | Zt108406	47.48	45.83	43.93	51.77
Zt108416	hypothetical protein MYCGRDRAFT_108416 | Zt108416	34.19	33.38	27.2	45.81
Zt108417	hypothetical protein MYCGRDRAFT_108417 | Zt108417	22.5	32.21	15.33	18.96
Zt108421	c6 transcription factor | Zt108421	35.58	29.18	38.73	25.51
Zt108424	hypothetical protein MYCGRDRAFT_108424 | Zt108424	37.74	46.31	33.44	51.36
Zt108425	mitochondrial carrier | Zt108425	32.58	40.6	29.06	36.17
Zt108426	guanine deaminase | Zt108426	33.48	41.81	32.41	41.44
Zt108441	hypothetical protein MYCGRDRAFT_108441 | Zt108441	16.32	20.88	17.14	19.29
Zt108444	choline oxidase | Zt108444	75.91	103.63	58.37	56.97
Zt108445	betaine aldehyde dehydrogenase | Zt108445	43.4	40.76	29.48	29.36
Zt108446	C6 transcription factor | Zt108446	48.95	28.62	24.29	42.12
Zt108448	hypothetical protein MYCGRDRAFT_108448 | Zt108448	101.19	88.17	72.12	63.05
Zt108464	vacuolar sorting-associated vps17 | Zt108464	78.08	62.89	118	58.49
Zt108469	Non-heme 11 kDa of cytochrome bc1 complex | Zt108469	164.25	189.25	135.07	143.05
Zt108472	ferrochelatase | Zt108472	108.33	71.86	62.52	89.69
Zt108479	thioredoxin [Aureobasidium namibiae CBS ] | Zt108479	26.05	53.64	58.4	46.23
Zt108482	hypothetical protein MYCGRDRAFT_108482 | Zt108482	9.49	7.76	17.17	6.68
Zt108483	hypothetical protein MYCGRDRAFT_108483 | Zt108483	52.01	43.01	48.56	43.95
Zt108486	alpha-amylase [Aureobasidium namibiae CBS ] | Zt108486	33.18	40.98	27.27	30.25
Zt108491	3 exoribonuclease | Zt108491	162.73	154.06	119.52	149.05
Zt108494	hypothetical protein MYCGRDRAFT_108494 | Zt108494	16.91	10.45	16.45	18.71
Zt108495	hypothetical protein MYCGRDRAFT_108495 | Zt108495	20.26	28.13	16.18	17.35
Zt108499	von Willebrand and RING finger domain | Zt108499	16.15	11.89	117.9	9.87
Zt108506	serine carboxypeptidase | Zt108506	16.79	13.39	39.96	200.38
Zt108514	hypothetical protein MYCGRDRAFT_108514 | Zt108514	40.69	31.03	43.86	40.43
Zt108516	vacuolar sorting-associated 13 | Zt108516	17.41	12.34	26.57	24.98
Zt108517	mitochondrial inner membrane 1 | Zt108517	192.96	166.42	160.18	172.87
Zt108522	hypothetical protein MYCGRDRAFT_108522 | Zt108522	8.11	9.83	176.08	6.64
Zt108527	hypothetical protein MYCGRDRAFT_108527 | Zt108527	76.39	40.04	33.22	46.97
Zt108529	trafficking particle complex subunit 2 | Zt108529	42.53	44.71	24.2	35.78
Zt108530	hypothetical protein MYCGRDRAFT_108530 | Zt108530	64.52	108.5	252.44	154.93
Zt108533	hypothetical protein MYCGRDRAFT_108533 | Zt108533	37.16	22.62	41.38	30.41
Zt108534	hypothetical protein MYCGRDRAFT_108534 | Zt108534	8.34	6.67	11.58	9.34
Zt108540	hypothetical protein MYCGRDRAFT_108540 | Zt108540	129.75	347.04	82.53	363.98
Zt108541	component of 3 histone acetyltransferase complex [Aureobasidium namibiae CBS ] | Zt108541	35.75	32.24	40.96	32.77
Zt108544	ABC transporter | Zt108544	12.16	15.09	19.13	13.7
Zt108560	Chitin synthase export chaperone | Zt108560	62.28	52.08	66.77	57.75
Zt108566	hypothetical protein MYCGRDRAFT_108566 | Zt108566	46.29	35.62	39.82	29.71
Zt108567	glycerol kinase | Zt108567	79.94	92.49	61.35	64.65
Zt108571	hypothetical protein MYCGRDRAFT_108571 | Zt108571	14.5	36.74	16.88	26.77
Zt108572	mannose-1-phosphate guanyltransferase | Zt108572	199.14	196.68	191.97	165.89
Zt108577	hypothetical protein MYCGRDRAFT_108577 | Zt108577	58.81	51.63	59.37	49.96
Zt108578	cyclohexanone monooxygenase | Zt108578	69.97	98.81	24.55	53.75
Zt108584	hypothetical protein MYCGRDRAFT_108584 | Zt108584	51.36	33.14	144.01	45.61
Zt108587	hypothetical protein MYCGRDRAFT_108587 | Zt108587	29.24	24.74	23.89	23.66
Zt108594	P-loop containing nucleoside triphosphate hydrolase | Zt108594	3.03	7.9	3.93	7
Zt108597	ERG1 squalene epoxidase | Zt108597	50.17	61.43	36.38	54.73
Zt108599	hypothetical protein MYCGRDRAFT_108599 | Zt108599	31.28	28.85	27.05	35.19
